"( S) Saksa","Sáksi"
"lepyttää","soažžudit, doažžudit"
"lerpahtaa","šloanccehit"
"lerpattaa (luppakorvista)","šluŋkkistit"
"lerpattaa","šleancát"
"lerppa","šleanci"
"lerppu","šloanci"
"lese","-hpo-, gordneskabus, gordnegarra"
"leskenlehti","heasttagazzarássi, heasttagazzaráss"
"leski (mies)","leaska"
"leski (nainen)","leaska"
"leski","leaska"
"leskimies","leaskaalmmái ~ leaskaolmmái"
"leskivaimo","leaskanisu"
"lestaadiolainen","lestádialaš"
"lestaadiolaisuus","lestadianisma"
"lestadiolainen","lestadiánalaš"
"lestadiolainen","lestadiánalaš; lestadiolaisuus lestadiolašvuohta, lestadiánalašvuohta, lestadiolaš"
"let (thick sour milk) stand till the whey separates and the milk can be skimmed off (= gowˈdit 4)","gowdiidâtˈtet"
"let (thick sour milk) stand till the whey separates and the milk can be skimmed off (= gowˈdit 4)","gowˈditit"
"let the driving or pack reindeer or horse get badly chafed by the harness, thereby causing galls or the hairs to get rubbed off","goddetit"
"letku","letko (S), dipmabohcci, sojubohcci, ="
"letti","bárggáldat ~ bárggaldat, bárggáldat"
"letto (rimpisuo)","čáhcjeaggi, suotnju"
"letto","suotnju"
"letto, rimpisuo","suotnju"
"lettopaju","dálvelasta"
"lettorikko","jeaggenarti"
"lettotähtimö","jeaggehilsku, rohtohilsku, ="
"lettovilla","skážirjeaggeullu"
"lettu","bán'nogáhkku"
"leuanalus (ihmisellä)","gáibbevuolli; (porolla) giehppi"
"leuanalus (porolla)","giehppi"
"leuanaluskarvat, parta (porohirvaalla syksyllä, pukilla)","njávvi"
"leudohko","ilma láfu"
"leudontaa (säätä, pakkasen jälkeen)","máizadit"
"leudontua","máizat, (säästä, pakkasen jälkeen) bivaldit, liehmudit, bivaldit"
"leuhka","gáddálas, gáddálas, čeavlái"
"leuhkia","cevilohallat, rábmot, čevllohallat, rámohallat"
"leuhkuus","gáddálasvuohta"
"leuka (ulkopuolelta)","gáibi"
"leuka (ulkopuoli)","-ks-:m; (laukun) čoarvi; (rautojen) geavja, leukaluut) ollolat (pl.); (höyläpenkissa) bavssa, (sisäpuoli, gáibi"
"leuka","ks. alaleuka; yläleuka"
"leukailla (jklle)","njálbmut (+kom.)"
"leukakappale (nyljetyssä porontaljassa)","ginal"
"leukakulma","-l'lá-:Ø, nierrabealis"
"leukalappu, ruokalappu","šlembbon"
"leukaluu","oalul, ollol"
"leukaluut (pl.)","ollolat (pl.)"
"leukaparta (erit, pitkä)","skávžá"
"leukaparta","skávžá"
"leukava","njálbmái"
"leukemia (med.)","varraboras, leukemiija"
"leukemia","leukemiija, varraboras"
"leuku","sámeniibi"
"leuto (adj.)","bivval (-is), liehm/us (-os)"
"leuto (subst.)","liehmu, bivval"
"leuto","(ilmasta) máizzas, tuuli láfobiegga, sää bivvalat (pl.) (koleiden säiden jälkeen) liehmu, -iz#máiza, (ei kolea) liehmus ~ liehmos (attr.), leuto ilma, bivval#-is"
"levä","deappu"
"levähdellä","vuoiŋŋastallat"
"levähtää","vuoiŋŋastit, (hetkisen) vuoiŋŋastastit"
"levällään (väliaikaisesti)","leabbagasas"
"levällään oleva esine","leabbadas"
"levällään oleva","leabbat"
"levällään oleva, levitetty","leappo-"
"levällään","leabbut, oleva leabba/t (-dis) ~ le/abbat (-bbes), maata levällään deaškát, leabba; olla levällään leabbát"
"levällään, levälleen, leveänä(än)","leabbut"
"levällään,","maata levällään deaškát, -een leabbut, olla, olla levällään leabbát"
"levälleen (väliaikaisesti)","leabbagassii"
"levälleen","duolbasii"
"levännyt (joka ei ole ollut töissä), virkeä, vuongas","vuoŋis"
"levännyt","vuoiŋŋastan, -kŋá-#vuoŋes, (joka ei ole ollut kovissa töissä) vuoŋis"
"leväperäinen","skiluheapme, skiluh/eapme (-is), šli/htu (-đus), háreh/eapme (-is), sahte- ~ sat- ~ sahte, šlu/htu (-đus), šlihttui, sahtedohko, háreheapme, šlihtu#šliđus, šluhtu#>sluđus"
"leväperäinen","suosttas"
"leväperäinen, piittaamaton, välinpitämätön","háiggir"
"leväperäinen, varomaton","dierbi"
"leväperäisesti","háreheamet, sahtedohko (adv.)"
"levätä (läpikotaisin)","vuoŋásmuvvat"
"levätä (läpikotaisin), toipua (rasituksista, liiallisesta kalastuksesta tms.), vuonkua","vuokŋut"
"levätä (läpikotaisin), vuonkua","vuoŋásmit"
"levätä (läpikotaisin), vuonkua","vuoŋásmuvvat"
"levätä","(vähän) bosihit, (hetkisen) bosihit, (haudan levosta) vuoiŋŋadit, (erit. haudan levosta) vuoiŋŋadit, vuoiŋŋastit"
"leveä (kankaasta)","vuopmat"
"leveä (vesireitti), väljä (esim. salmi); virtava, vuolas","fávlái"
"leveä","govd/at (-a) ~ govd/at (-es); pitää jotakin liian leveänä govddášit, govdat:d#govda ~ govdes, leveä tela govda máhtta, (kankaasta) vuopmat:d#-is ~ vubmes"
"leveä; leventelevä, mahtaileva","govdat"
"leveäharteinen","hárdui"
"leveähulpioinen (lapintakista)","holbá/i (-s)"
"leveämpi","govddit:bu, govddit"
"leveänä(än)","leabbut"
"leveäpyrstökihu","áhpeháskil, mearraháskil"
"leveäpyrstökihu","mearraháskil"
"leveätelainen","govdamáhtat:g"
"leveilevä, ylvästelevä","rábmái"
"levein","govddimus"
"levennellä","rábmát"
"levennellä, ylvästellä","rábmát"
"levennellä, ylvästellä","rámppastallat"
"leventää","govddidit"
"leventää, laventaa","govddidit"
"leventelevä","govdat:d#govda ~ govdes, rábmá/i (-s); on sellainen leventelevä kaveri lea dakkáraš rábmásdiŋga"
"leventyä","govdánit, govdut"
"levetä","govdánit"
"levetä","govdut"
"levetä, leventyä","govdut"
"leveys (kankaan)","vupmodat"
"leveys","govdodat"
"leveys","govdodat; leveyssuuntaan govdodahkii, leveydeltään govdodahkii, govdodat"
"leveysaste (geogr.)","govdodatgráđđa"
"leveyspiiri (geogr.)","govdodatgierdu"
"leveyssuuntaan","govdodahkii"
"levikki","leavvanviidodat, lávdu, lávdanviidodat"
"levikki-alue","leavvanviidodatguovlu"
"levikkipäälikkö","lávduhoavda ???"
"levinneisyys","lávdu"
"levinneisyys","leavvanviidodat, lávdu, lávdanviidodat"
"levinneisyyskartta","lávdokárta"
"levitä (esim. kulkutauti); tunkeutua seuraan","ahttat"
"levitä","laajemmalle) lávdat, (levälleen) leabbanit, leabbanit, leavvat, laajalla) leabbát; (laajalle, (laajemmaksi, laajemmalle) viidánit, viidánit, (olla levällään, lávdat"
"levitä, laajeta; edetä (aineessa); hajota, särkyä","leavvat"
"levitellä (jatkuvasti), aukoa","leppodit"
"levitellä käsiään","leappuhit"
"levitellä siipiään, aukoa kirjaa tms.","leppohallat"
"levitellä","leabbut"
"levitellä","leabbut, leppodit; (käsiään) leappuhit"
"levittää (auki, levälleen)","sirorella) gilvit; (haralleen) hir'ret; (hiertämällä ohuelti) njuohtat; (voita leivälle) njuvdit, lebbet; (laajemmalle) viiddidit; (liian laajalle) láhčit; (hajalleen) biđget; (jaella"
"levittää (levälleen)","lebbet; (laajalle) lávdadit"
"levittää (ohuelti, esim. voita leivälle)","njuohtat"
"levittää (peite); vetää (airot) sisään","loavuhit"
"levittää (siipensä, purjeensa), pingottaa levälleen","saddit"
"levittää haralleen, harottaa","hárˈret"
"levittää ohuelti (esim. voita), hiertää, levittää hiertämällä, sivellä, voidella, maalata","njuohtat"
"levittää, aukaista","lebbet"
"levittäytyä","bieđganit, leavvat, lávdat"
"levittyä (ohuelti, esim. rasvasta)","njuohtašuvvat"
"levittyä ohuelti, hiertyä, levittyä hiertymällä","njuohtasit"
"levittyä ohuelti, hiertyä, levittyä hiertymällä","njuohtašuvvat"
"levityttää; päästää hajalle, leviämään; särjettää; saada rikkoontumaan, särkymään","biđgehit"
"levollinen (lapsesta)","orˈrul"
"levollinen","mášolaš, (tasainen) dássit:d#-is ~ dásset:d#-is, hillján#-is, dásásnuvvat, lotk/at (-es), lotkat:d#lotkes, oahci/t (-dis), tulla levollise(mma)ksi hilljut; ráfáidit, másolaš, muosálaš, ráfálaš, mášuiduvvat, (hiljainen) hillji#hiljis ~ hiljes"
"levollinen","oahccái"
"levollinen","oahcit"
"levollinen, kunnollinen, kunnon, luotettava","ávda"
"levollinen, malttavainen, kärsivällinen","mášolaš"
"levollinen, rauhallinen, häiriintymätön","muosálaš"
"levollisesti","mášolaččat, ráfálaččat, lotka, hiljit"
"levollisuus, tasaisuus","dássitvuohta"
"levoton (lähtemään jhk)","huncái"
"levoton","leaboheapme"
"levoton","tulla levottomaksi dilihuvvat, leabuh/eapme (-is), ráfeh/eapme (-is); olla levoton leabuhuddat, tehdä levottomaksi muosehuhttit, tulla levottomaksi leabuhuvvat, muoseh/eapme (-is), (rauhaton) leabuheapme ~ leaboheapme, (kärsimätön) mášoheapme, diliheapme, dilih/eapme (-is), muosehuvvat, (jnk vuoksi, jstak) stađuheapme ~ stađaheapme, muoseheapme"
"levoton, levottomasti liikuskeleva (porosta)","skuđđalas"
"levoton, malttamaton","mášoheapme"
"levoton, malttamaton","stađaheapme"
"levoton, malttamaton","stađuheapme"
"levoton, rauhaton; häiritsevä, kiusallinen, rasittava","muoseheapme"
"levoton; kiireinen, varattu, jolla ei ole aikaa","diliheapme"
"levottomuus","leabohisvuohta, dilihisvuohta, leabuhisvuohta, (kärsimättömyys) mášohisvuohta, muosehisvuohta, ráfehisvuohta, (hermostuneisuus) váccáhat, dilihisvuohta, (selkkaus) stuibmi"
"levottomuus, levoton kävely","váccáhat"
"levottomuus, rähinä; kahakka, selkkaus, kahnaus, mellakka, kapina","stuibmi"
"levottomuus; kiireisyys","dilihisvuohta"
"levy","duolbbus"
"levy","pláhta; (pyörivä) skear'ru, -ulbo-, pláhta, (pyörivä) skear'ru ~ skier'ru, duolbbus"
"levyinen","govddu"
"levyinen","govddu, perunapelto on kuuden metrin levyinen buđetbealdu lea guhtta mehtera govddu, govdosaš (attr.); kuuden metrin levyinen perunapelto guđa mehtera govdosaš buđetbealdu, govdosaš (attr.) govddu"
"levyinen","govdosaš"
"levyke","skear'ru ~ skier'ru, skear'ru; (tietok.) diskeahtta, diskeahtta"
"levysoitin","skear'ročuojanas"
"levyttää (laulaa levylle)","lávlut sker'rui; (tehdä levy) ráhkadit skearru"
"levyttää","lávlut sker'rui, ráhkadit skearru; cuojahit"
"leyhyä, tuulla (heikosti)","spiellat"
"liakko, ryssänvalkko (valkoisesta porosta, jonka karvanlatvat ovat ruskehtavat)","ruoššajievja"
"liantunteva (esim. vaatekappale)","duolvi"
"liantunteva (esim. vaatekappaleesta)","duolvalas"
"liantunteva (esim. vaatekappaleesta)","duolvil"
"liantunteva (esim. vaatekappaleesta)","duolvil#-is, duolvalas"
"lianvärinen","(yl. poron karvoituksen latvasta) duolvvas, -lv#duolva, duolvaivnnat:g"
"liata karvoilla, karistaa karvoja jhk","guolggidit"
"liata","(kovasti) nuoskkidit, duolvadit, duolvvidit, durddidit, nuoskkidit"
"liata, loata, ryvettää","duolvvidit"
"liata, vetää lokaan","duolvadit"
"libanonilainen","libanonalaš"
"liberaali","liberála"
"libyalainen","libyalaš"
"lie","leažžá ~ leaš"
"lieata (pitää lieassa)","veaddit"
"lieata, pitää lieassa, ventää; pitää (pakolla jkta jssak ilman ruokaa tms.); pitää (autoa) lämmittimenjohdon päässä","veaddit"
"liehakoida","bálvalit, skelččiidit"
"liehauttaa","šlivget"
"liehitellä","bálvalit, skelččiidit, hálvalit, njálgganjuokčamastit, njálggástallat, njálgganjuokčamastit, dohkkestuvvat, njoallut (soapmása) bađa, gerjjodit, gopmárdallat"
"liehua (erit. jkun edessä tai tiellä leveähelmaisissa vaatteissaan, naisista)","heavlasaddat"
"liehua","šlivgasaddat, (erit. jkun edessä tai tiellä) heavlasaddat; (jssak; ihmisestä) joreštit, naisista) heavlut, (esim. lipusta) lihardit, sluvgasaddat, libaidit, (leveähelmaisissa vaatteissaan"
"liehuke","diehppat, diehppi, varustaa liehukkeilla dihppet"
"liehutella, liehuttaa","livjáhit"
"liehuttaa","šlivgut"
"lieju","stánži, stánži, luhča, mohti"
"lieju, rapa, loka","stánži"
"liejuinen","-nž-#stánže, stánžudit, tehdä liejuiseksi stánžet, stánž/žas (-e-); tulla liejuiseksi stánžut, stánžžas"
"liejuinen, rapainen, lokainen","stánžžas"
"liejukana","hoaš'šavuonccis, Láttovuonccis, -ncá-:Ø"
"liejusimpukka","lábbáskálžu"
"lieka","veattabáddi, pitää lieassa veaddit, veaddinlávži; olla lieassa veddot, liekaan veaddagassii, olla lieassa veddot, pitää lieassa veaddit; lieassa veaddagasas, veaddagii, veaddagis"
"liekapaalu, venne","vuohtan"
"liekaporo","veattat"
"liekehdintä","šloavggas"
"liekehtiä","njuovžut, loahcat; yltyä liekehtimään njuorššagit, njivžut, njuoršut, njivžžardit"
"liekehtiä, loimuta","loahcat"
"liekki","dola- ~ dollanjuovčča, -kč-:m, dolanjuovčča"
"liekku","sukká"
"lieko (tuulenkaato)","liehku; (kasvi) gieldá, báidnorássi"
"lieko, tuulenkaato (puu)","liehku"
"liekokasvit (pl.)","idnešattut (pl.)"
"liekovarpio","ruvdorássi"
"liekuttaa","vuohttut"
"liemekäs, runsaslieminen","liebmái"
"liemi","liepma"
"liemi","liepma; liemevä liebmá/i (-s), libm/ii (-es), liepma"
"liemikulho","mállegárri"
"liemikuutio","liepmabircu"
"lienee","leažžá ~ leaš, lienen leaččan"
"liennyttää (sulattaa)","máizadit"
"liennyttää, panna tai saada (jäinen esine, jääkylmä vesi jne.) lämpiämään, lämpenemään, panna tai saada sulamaan (pakaste tms.); leudontaa (säätä, pakkasen jälkeen)","máizadit"
"lientyä","deabbut"
"lieri","gahperravda lieriö(geom, sylinder, ) guppol"
"lieriö (esim. tuohilieriö)","roavttus"
"lieriö (mat.)","sylinder"
"lieriö, tela","ludni"
"lieriömato","roavttosmáhtu, sylindermáhtu"
"liero","muoldamáhtu"
"liesi","oama, oapman, -pm-:n, omman, uvdna"
"lieska","dolanjuovčča, dola- ~ dollainjuovčča, njivžžanas, -kč-:m"
"lieska","njivžžanas"
"lieska; huuru, höyry","lievdi"
"liestää","lutket"
"liestää, repiä (kenkäheinän tyviä, vaatteita pesussa, nahkoja muokkauksessa)","suvget"
"liestyä (köydestä)","nuovˈvut"
"liestyä, purkaantua, purkautua, rispaantua; päästä (solmusta); kehkeytyä, kiehkeytyä; puhjeta (nupusta)","luotkanit"
"liestyä, rispaantua","gárganit"
"liestyä, rispaantua, purkautua; avautua (solmu); puhjeta (nuppu)","lutkkiidit"
"liesu (ketun)","biedju"
"liesu","?"
"liete","luhca, mohti"
"lietsoa","fáddet"
"liettualainen","lietuvalaš"
"lievä","(taudista) linis, láiv/i (-ves), -tná-#litna, un'ni#unna ~ uhcci#uhca liha biergu; (elävä) oažži, láivi#láivves"
"lieve","healbmi; ravda"
"lievennys","litnudeapmi, álkidahttin:m"
"lieventää","litnudit"
"lieventyä","geahpput, litnut"
"lievetä","(taudista) litnut, geahpput"
"lievittää","geahppudit, álkidahttit, geahpedit ~ geahpidit"
"lievittää, helpottaa","álkidahttit"
"lievitys","vuogeheapmi, geahpedeapmi ~ geahpideapmi"
"liggenguovddáš: lämpökeskus","liggen"
"liha (esim. koiran kaluama)","sobahas"
"liha","biergu; (elävä) oažži"
"lihakas (verevä)","oažžá/i (-s)"
"lihakas","birgui"
"lihakas","deahkkái"
"lihakas, lihaksikas","deahkkái"
"lihakas, uhkea, muodokas","dohkas"
"lihakas, verevä","oažžái"
"lihakeitto","biergomális, -llá-, biergomálli ~ -mális, biergomálli"
"lihaksikas","deahkkái, deahkká/i (-s); tulla lihaksikkaaksi deahkáiduvvat, deahkkut"
"lihaksisto","deahkit (pl.), oažži"
"lihaliemi","biergoliepma"
"lihallinen","oaččálaš"
"lihamureke","biergolimpu, biergodáigeláibi"
"lihankuivatusteline","biergojiel'li"
"lihanpala, sattuma (keitossa)","sálga"
"lihanpalvauspuura","suovastanbuvri"
"lihansyöjä","biergobor'ri"
"lihapala","biergobihttá (ks. sattuma), biergobihttá, (keitossa) sálga"
"lihapuikko (lihapalan nostamiseen padasta, paahtamiseen tulella tms.)","hálti"
"lihapulla","biergogáhkku, biergogáhkku ~ -guhppár"
"lihapyörykkä","biergobál'lu, biergogáhkku ~ -guhppár, biergogáhkku, biergoguhppár, biergobul'lá"
"lihas","deahkki"
"lihas","lihkaksisto deahkit (pl.), deahkki; lihakset, deahkki, lihas- deahkke-"
"lihasjaoke","cuohppalatnja"
"lihaskudos","deahkkegođus"
"lihassärky (niskassa ja hartioissa)","vuhččon"
"lihasvoima, ruumiinvoimat, väkevyys, voimakkuus","givrodat"
"lihata, paloitella (teuraseläin muutamaan osaan)","rihttet"
"lihava (porosta, elukasta)",", deahkká/i (-s), dohkas (-is), ađ'đái (-s), birg/ui (-os), dalga/t (-dis), jol'lái (-s)"
"lihava","buoidi"
"lihava","gass/at (-a), buoidi#huoiddes, (naisesta) sturc/cas (-e-), pullukka, buoid/i (-des), henkilö ks. paksukainen, jorb/bas (-a), itt/is (-es) ~ ittis (-is) čil'lái (-s); (miehestä) jarf/fas (-e-) jarg/gas (-e-)"
"lihavoida","lihavoitu kirjain buoiddes bustávva"
"lihavuus","-đđ-:m, porolla) ađa, buoidivuohta, (kohtuullinen"
"lihavuus","buidodat"
"lihavuus","buoidivuohta"
"lihoa (hyvään lihaan; eläin)","dalggodit"
"lihoa (jatkuvasti tai monista olioista)","buiddodit"
"lihoa (nopeasti)","buoidulit"
"lihoa (porosta, elukasta)","ađaiduvvat, assut, deahkkut, buoidut, deahkáiduvvat, oaččáiduvvat, ahtanuššat, dohkasmuvvat, dalggodit, jollut"
"lihoa","buoidut"
"lihoa","jorbbasmuvvat, váfot, buoidut, ahtanuššat, ittásmuttat, gassut"
"lihottaa","buoidudit"
"liiaksi nojallaan oleva (selkänojasta)","mieiggus"
"liiaksi","liiggás"
"liiaksi, liian; yli tarpeen","liiggás"
"liiallinen","badjelmearálaš, liiggálaš"
"liiallisesti","beareha(ga), badjelmeare, bearehaga"
"liian korkea ja leveä vene","ruhmut"
"liian läheltä reunaa","ravddagit"
"liian pitkä (ja hankala käsitellä), pitkänhuiskea (tav. esineistä)","stáippas"
"liian suora esine (nenä, keula, suksen kärki), ahkio, suksi, tms., jonka keula tai kärki on liian suora, (liian) suoranenäinen ihminen","šnjuoggu"
"liian suoranenäinen, suoranokkainen (ihminen, vene, suksi tms.)","šnjuokkas"
"liian syvä esine","gurci"
"liian","liian paljo beare olu, (adverbien yhteydessä myös) beare, suorana (adv.) (hetkellisesti) šnjuoggut; (pysyvästi) šnjuokkil, beare, ilá, ila ~ ilá, suksen kärjestä, suksen kärki, menddo, tms.) šnjuoggu, suora esine (veneen keula, nenästä, tms.) šnjuo/kkas (-gge-), suora (veneen keulasta, liiggás"
"liian, kauas, kauka|na, -a","menddo"
"liian; ylen, kovin","ilá"
"liiemmin","beareha(ga)"
"liietä","(jklta) liigut (soapmásis liigudit (+akk.), juollut, juollut; liikenisikö sinulta 10 euroa minulle? liiggošiigo ~ julošiigo dus 10 euro munnje?, liigut, minulta ei liikene mun in liigut, saada liikenemään (esim. lainaksi) astadit"
"liietä, joutaa, hellitä; olla käytettävissä; jäädä yli, riittää (jklle)","liigut"
"liietä, riittää; saada, sietää (tehdä jtak)","juollut"
"liika","liigi; liika- liige-, liigi, liika- liige"
"liika, lisäke; ylijäämä; kasvannainen","liigi"
"liika-ahkio (raidossa)","liigeres"
"liikaa tilaa vievä esine tai olio","goanjádus"
"liikaa","ilá liiggás ~ menddo olu, ilá liiggás ~ menddo sakka"
"liikahärkä (raidossa)","liigeheargi"
"liikahdella, väreillä (vedestä ennen kiehumista)","saŋgat"
"liikahdella, väreillä (vesi ennen kiehumista)","saiget"
"liikahdus","lihkastat"
"liikahtaa","(hievahtaa) lihkkasit, lihkastit; (paikaltaan) lihkkasit, lihkastit"
"liikahtaa","lihkastit"
"liikahtaa, lähteä liikkeelle","lihkkasit"
"liikakansoitus","olmmošnákkisvuohta"
"liikakuormitus","liigeguorbmi"
"liikanimi","buddosnamma"
"liikanimi","buttostallat, buddostatnamma, buttosnamma; kutsua liikanimellä buddostallat, buddosnamma"
"liikapaino","liigedeaddu"
"liikarasitus","liigerahčan:m"
"liikasuoritus",", liigeprestašuvdna"
"liikauttaa","lihkastahttit"
"liike (aktio)","akšuvdna"
"liike (yksittäinen, esim. käden)","liikkeellä jođus, lähteä liikkeelle johttát, vuolgi johtui, (kan san- tms.) lihkadus, laittaa liikkeelle johttáhi bidjat johtui, firbmá; (liiketoiminta) gávpedoaibma, lähteä (sijoiltaan) liikkeelle lihk kasit, liikkeessä olo (esim. rahan) johtu, lihkasta (liikunta, liikkeelle johtui, vuolggahit; (yritys) fitno dat, panna, liikehdintä) lihkadus"
"liike",", lähteä liikkeelle johttát, lihkasteapmi, lihkastat, lihkadus; olla liikkeellä leat jođus, fitnodat"
"liike, liikehdintä, liikunta; kansanliike","lihkadus"
"liike, liikunta; hyörinä","lihkadeapmi"
"liike-energia (fys.)","lihkkanenergiija"
"liikearvo","fitnodatárvu"
"liikehdintä","lihkadeapmi, lihkadus"
"liikehtiä, palkia (poroista esim. helteellä)","čussat"
"liikekannallepano",", mobiliseren:m, mobiliseren; panna liikekannalle mobiliseret, mobiliseren"
"liikekirjanpito","fitnodatrehketdoallu"
"liikelaitos",", fitnodatlágádus"
"liikemies","fitnodatolmmoš, fitnodatolmmái"
"liikeneuvottelu","fitnodatráđđádallan"
"liikenne","johtolat, johtalus"
"liikennelaitos","johtolatlágádus"
"liikennemerkki","johtolatmearka"
"liikenneministeri","johtalusministtar"
"liikenneministeriö","johtalusministeriija"
"liikenneolosuhteet (pl.)","johtolagat (pl.) johtolatdilit (pl.), johtolatdilálašvuođat (pl.)"
"liikenneonnettomuus","johtolatbárti"
"liikenneonnettumuus","johtolatbárti"
"liikenneopettajalupa",", biilaskuvllaoahpaheaddjilohpi"
"liikennepaikka","johtolatsadji"
"liikennepoliisi","johtolatboles, johtolatpoliisa"
"liikennerikkomus","johtolatrihkkumuš:-šš-, johtolatrihkkumuš, -š-"
"liikennerikos","johtolatrihkus"
"liikenneruuhka","johtolatbahku, johtolatbahkkedeapmi"
"liikennesääntö","johtalannjuolggadus, johtolatnjuolggadus"
"liikenneturvallisuus","johtolatdorvvolašvuohta"
"liikennevahinko","johtolatvahát, johtolatvahát:g"
"liikennevahinkolautakunta","johtolatvahátlávdegoddi"
"liikennevakuutus","johtolatoadju, johtolatdáhkádus"
"liikennevakuutuslaitos",", johtolatoadjolágádus"
"liikennevakuutuslaki","johtolatoadjoláhka"
"liikennevakuutusyhdistys","johtolatoadjosearvi"
"liikennevakuutusyhtiö","johtolatdáhkádusfitnodat"
"liikennevaliokunta","johtolatválljogoddi"
"liikennevalo","johtolatčuovga"
"liikennevalot","johtolatčuovggat"
"liikenneympyrä","johtolatjorbalas, johtolatgierdu"
"liikennöidä","fuolahit johtalusas, johtalit"
"liikennöintikustannukset","johtalangolut"
"liikennöitsijä","johtalusfuolaheaddji ???"
"liikenopeus","fallodat, leaktu"
"liikenteen valvonta","johtolatgohcin"
"liikenteenjakaja","johtolatjuohkki"
"liikenteenohjaus","johtalatstivren"
"liikeosake","fitnodatoasus"
"liikepaikka","fitnodatbáiki"
"liikepankki","fitnodatbáŋku"
"liikeperiaate","fitnodatprinsihppa"
"liikesalaisuus","fitnodatčiegusvuohta"
"liiketaloudellinen","fitnodatekonomalaš"
"liiketalous","fitnodatekonomiija"
"liiketaloustiede","fitnodatekonomiijadieđa"
"liiketapahtuma",", fitnodatdáhpahus"
"liiketoiminta",", fitnodatdoaibma, fitnodatdoaibman:m"
"liiketulo","fitnodatboahtu"
"liikevaihto","vuovdimat (pl.)"
"liikevaihtovero","gávpevearru"
"liikevoitto","fitnodatvuoitu"
"liikeyhteisötunnus","gávpesearvvušdovddaldat"
"liikeyritys","fitnodat, "
"liikkeelle lähtö (jutamamatkalla)","sirdán"
"liikkeenharjoittaja",", fitnodatbargi, ="
"liikkua (kauniissa) laskoksissa(an)","lonjuhit"
"liikkua (liian) suoranenäisenä, suoranokkaisena","šnjuokkuhit"
"liikkua (miehen)köriläänä, roikaleena","koailáhit"
"liikkua apeana, masentuneena; liikkua takkuisena, karvavieruna","hurvvuhit"
"liikkua jonossa (vars. porot); valua (pois astiasta; pikkuesineet, kolikot, kalat tms.); ojentua (täyteen pituuteensa)","gurggistit"
"liikkua joukkona, parveilla","gihpostallat"
"liikkua joukkona, parveilla","gihppudit"
"liikkua jssak alakuloisena, apeana","šlundduhit"
"liikkua jssak karvakuluna; liikkua jssak pahanilmanlintuna","guorbbuhit"
"liikkua jssak luisevana (eläimestä)","ruvžžuhit"
"liikkua jssak lyhytkarvaisena (porosta alkusyksyllä)","šnjilžžuhit"
"liikkua jssak sottaisena; laahustaa, maleksia","šlurvvuhit"
"liikkua kaljupäisenä","báljildit"
"liikkua kartimaisena, suippona, puikeana","buiccuhit"
"liikkua karvakuluissa vaatteissa (erit. saidasta ihmisestä)","snuorddildit"
"liikkua karvattomiksi kuluneissa vaatteissaan","spálččildit"
"liikkua kauniisti laskostetuissa, poimutetuissa vaatteissa","lodnjáhit"
"liikkua kimaltavana, kiiltävänä, välkkyen","šealgguhit"
"liikkua kompurajalkaisena, tönkköjalkaisena","doarssuhit"
"liikkua kuivakkana","skirruhit"
"liikkua kurjana, surkeana","skurtnjuhit"
"liikkua kurttuisissa nahkavaatteissa","snorruhit"
"liikkua kyykyssä","čeakŋuhit"
"liikkua likomärissä nahkavaatteissa","šnjalččahit"
"liikkua likomärissä nahkavaatteissa","šnjalččuhit"
"liikkua likomärissä nahkavaatteissa","šnjarvvuhit"
"liikkua lumivalkoisena, valkeana","čeaskkuhit"
"liikkua luppakorvaisena","šluŋkkahit"
"liikkua mörkönä (vars. pimeässä)","skoavdnjut"
"liikkua mustana","čáhpildit"
"liikkua pörröisenä, tuuheana","barffuhit"
"liikkua pulleana","jarffahit"
"liikkua pullukkana, pulleavatsaisena","čilˈláhit"
"liikkua pullukkuna, pulleavatsaisena","čilluhit"
"liikkua pyöritys- t. huimaustaudissa, säntäillä; houkata (jtak)","vuorrat"
"liikkua pystynenäisenä, nirppanokkaisena","cirkkuhit"
"liikkua pystynenäisenä, pystynokkaisena","snirkkuhit"
"liikkua ryhdikkäänä, uljaana","čolččohallat"
"liikkua unisena, liikkua velttona","šliettildit"
"liikkua unisena, velttona","šliettuhit"
"liikkua välkkyen","čuovgguhit"
"liikkua valkoisena, valkeana (erit. jssak kauempana näkyvästä)","vielggildit"
"liikkua valkoisena, valkeana (erit. jssak kauempana näkyvästä)","vielgguhit"
"liikkua valoneuvon (esim. lampun) kanssa; liikkua valoisana","čuovggildit"
"liikkua","(liian paljon jssak; ihmisestä) joreštit, (kesälaitumella, lihkkat, poroista) bálgat, lihkadit, (jnk vaivaamana) bálgat"
"liikkua, liikuskella; nousta (vuoteesta)","lihkadit"
"liikkua, mennä punaisena","ruovssuhit"
"liikkua, muuttaa asentoa; herätä (ja nousta)","lihkkat"
"liikkua, näkyä jossakin punaisena","ruovssildit"
"liikkumaton","or'ru, lihkatkeahtes (attr.), lihkatkeahtes, ="
"liikkumaton, paikallaan oleva, seisova (esim. vesi); asukas","orˈru"
"liikkumisvapaus/ -oikeus","johtalanfriddjavuohta"
"liikkuva","-, lihkadeaddji, lihkadeaddji, =, johtti, johtti; kiertävä näyttely johtti čájáhus, poliisi johtti poliisa"
"liikunta","lihkadeapmi, lihkadus"
"liikuntaesteinen","lihkadaneasttalaš, lám/is (-es)"
"liikuntakyky","lihkadannákca, lihkadannávccat (pl.)"
